image_id,latitude,longitude,observed_on
340289420,-28.0174512556,153.2960408139,2023-12-11
340289425,-28.0174512556,153.2960408139,2023-12-11
331508218,-33.0766796,151.0952973615,2023-10-27
331508326,-33.0766796,151.0952973615,2023-10-27
331508300,-33.0766796,151.0952973615,2023-10-27
331373818,-33.0763638333,151.0950778333,2023-10-28
331373845,-33.0763638333,151.0950778333,2023-10-28
331373869,-33.0763638333,151.0950778333,2023-10-28
331115084,-33.0767200555,151.0951162914,2023-10-27
331115118,-33.0767200555,151.0951162914,2023-10-27
330829922,-33.0767020753,151.0952879528,2023-10-26
330651409,-33.07635,151.0951278333,2023-10-25
330344342,-33.0763638333,151.0950611667,2023-10-24
330206673,-33.0767008285,151.0952611307,2023-10-20
327972626,-33.0764278333,151.0950471667,2023-10-15
327539459,-33.0763246471,151.095091481,2023-10-13
327313437,-33.0764528333,151.0950305,2023-10-12
327056736,-27.5795466667,153.0744638333,2023-10-11
326129746,-33.0783888333,151.0896611667,2023-10-08
325994298,-31.4430319193,152.9193734005,2023-09-19
325994319,-31.4430319193,152.9193734005,2023-09-19
325994335,-31.4430319193,152.9193734005,2023-09-19
325352985,-33.076675,151.0952,2023-10-05
325353052,-33.076675,151.0952,2023-10-05
325353115,-33.076675,151.0952,2023-10-05
324849794,-33.0763666667,151.0950166667,2023-10-03
324377392,-27.5230185601,153.1194951905,2023-10-01
324051001,-33.0765278333,151.0949861667,2023-09-30
324068477,-33.0765278333,151.0949861667,2023-09-30
322687838,-33.0763444444,151.095,2023-09-25
322687851,-33.0762688455,151.0945326684,2023-09-24
322686913,-33.0762688455,151.0945326684,2023-09-22
322686965,-33.0762688455,151.0945326684,2023-09-22
322687007,-33.0762688455,151.0945326684,2023-09-22
321436374,-33.0765195,151.0950471667,2023-09-21
320596420,-33.0762666667,151.094925,2023-09-18
319719022,-33.0766,151.0950305,2023-09-15
317177645,-33.0765916667,151.0950305,2023-09-06
317177584,-33.0765916667,151.0950305,2023-09-06
317177720,-33.0765916667,151.0950305,2023-09-06
316023205,-38.0956917256,144.2780409451,2023-09-01
307656888,-38.0592972222,141.9223805556,2023-08-05
307656909,-38.0592972222,141.9223805556,2023-08-05
307656927,-38.0592972222,141.9223805556,2023-08-05
282017691,-27.4314976163,152.9957268387,2023-05-22
282017723,-27.4314976163,152.9957268387,2023-05-22
281149791,-27.9141783333,153.37262,2023-05-20
278203305,-33.0762333333,151.0949861667,2023-05-11
275200406,-33.0762361667,151.0952305,2023-05-03
274862345,-33.0764166667,151.0951528333,2023-05-02
272010529,-27.9713107639,153.234726725,2023-04-17
272010595,-27.9713107639,153.234726725,2023-04-17
272010669,-27.9713107639,153.234726725,2023-04-17
272010754,-27.9713107639,153.234726725,2023-04-17
272010822,-27.9713107639,153.234726725,2023-04-17
269614122,-33.0764361667,151.0950471667,2023-04-22
268423843,-30.4886992549,151.6409501061,2023-04-03
268359645,-33.0763075092,151.0951538423,2023-04-16
266930237,-33.0763888333,151.0952445,2023-04-12
266729794,-33.0762166667,151.0949695,2023-04-11
265797668,-33.0764666667,151.0951388333,2023-04-08
265640315,-33.0767388333,151.0949861667,2023-04-07
262885226,-33.0762028333,151.0950471667,2023-03-26
258856586,-33.0762416667,151.0950611667,2023-03-04
257683250,-27.546555,152.8598333333,2023-02-23
256561345,-27.9225747583,153.2374878972,2023-02-17
256561355,-27.9225747583,153.2374878972,2023-02-17
256561372,-27.9225747583,153.2374878972,2023-02-17
256413958,-27.9568476667,153.3760801694,2023-02-16
256413983,-27.9568476667,153.3760801694,2023-02-16
256413999,-27.9568476667,153.3760801694,2023-02-16
256341568,-28.0910855139,153.356418025,2023-02-15
256341575,-28.0910855139,153.356418025,2023-02-15
256341582,-28.0910855139,153.356418025,2023-02-15
256341587,-28.0910855139,153.356418025,2023-02-15
254804791,-36.797886027,145.5886676832,2022-01-20
254804467,-36.797886027,145.5886676832,2022-01-20
254804578,-36.797886027,145.5886676832,2022-01-20
254805026,-36.797886027,145.5886676832,2022-01-20
254804707,-36.797886027,145.5886676832,2022-01-20
254673192,-37.8909912,144.1679139,2015-10-09
254163996,-33.0763138333,151.0952916667,2023-01-30
246361694,-27.5278702518,153.1066754309,2022-12-04
246146532,-33.0764805,151.0951083333,2022-12-02
246012889,-33.0764805,151.0951083333,2022-12-02
244337378,-33.0783972222,151.0901194444,2022-11-21
243702022,-33.0765888333,151.0951221667,2022-11-17
242396536,-33.0767333333,151.0954278333,2022-11-09
240904720,-33.0739228349,151.0934051259,2022-10-28
239557387,-33.0764695,151.0951083333,2022-10-26
239557445,-33.0764695,151.0951083333,2022-10-26
