image_id,latitude,longitude,observed_on
392284955,-30.1687444444,153.1790416667,2024-06-09
392196369,-30.1684444444,153.180725,2024-06-09
390508217,-23.4939147997,150.4729745997,2024-06-05
390508293,-23.4939147997,150.4729745997,2024-06-05
387287954,-33.8118090257,150.6686064228,2024-05-28
387143590,-36.0660517968,147.5155802071,2021-10-03
378532099,-30.1731861111,153.1867666667,2023-01-31
377483662,-37.6463469918,144.8677617651,2024-04-27
375461997,-37.555285,144.9051783333,2024-04-27
369950525,-38.0002387801,144.4114128434,2024-04-20
369950585,-38.0002387801,144.4114128434,2024-04-20
369950492,-38.0002387801,144.4114128434,2024-04-20
369950541,-38.0002387801,144.4114128434,2024-04-20
369950449,-38.0002387801,144.4114128434,2024-04-20
369950507,-38.0002387801,144.4114128434,2024-04-20
368730526,-27.2876716667,153.0394183333,2024-01-31
367785454,-35.4590194444,148.9197555556,2024-04-18
367785350,-35.4500055556,148.9278888889,2024-04-18
367785325,-35.4500055556,148.9278888889,2024-04-18
367467649,-35.2985027778,149.1067916667,2024-04-17
367467646,-35.2985027778,149.1067916667,2024-04-17
367467655,-35.2985027778,149.1067916667,2024-04-17
367467663,-35.2985027778,149.1067916667,2024-04-17
367467676,-35.2985027778,149.1067916667,2024-04-17
367467684,-35.2985027778,149.1067916667,2024-04-17
366755085,-37.948233261,145.2296541933,2024-04-15
366755062,-37.948233261,145.2296541933,2024-04-15
366755094,-37.948233261,145.2296541933,2024-04-15
366755111,-37.948233261,145.2296541933,2024-04-15
366755126,-37.948233261,145.2296541933,2024-04-15
365931990,-37.5506554569,143.8897954906,2024-04-13
365932034,-37.5506554569,143.8897954906,2024-04-13
364563443,-23.4939162,150.4711382,2024-04-09
364563547,-23.4939162,150.4711382,2024-04-09
363947602,-23.9407531997,151.3663921,2024-04-07
363947624,-23.9407531997,151.3663921,2024-04-07
363911520,-34.0200493581,150.7489211485,2024-02-24
363605193,-37.9682933333,145.30039,2024-04-06
359940694,-37.7826833637,145.2590055764,2024-03-23
359683798,-38.4088472222,144.1757583333,2024-03-23
359683834,-38.4088472222,144.1757583333,2024-03-23
